,nickname,text,score,like,dislike,time,watch_movie
7007,에스알(rlac****),베댓에서 하얀늑대(jega****)그렇게 말하는 니가 더 쓰레기다ㅋㅋ 평점 1점주면 다일베충이니? 사람마다 관점이 틀린데 영화가 재미없을수도 있지ㅉㅉ 이런중딩수준댓글 베댓시켜준 것들도 수준보이네,8,0,1,2014-11-20 13:28:00,0
7008,ysve****,과하지않은 적당한 감동의 드라마,8,0,1,2014-03-17 12:37:00,0
7009,danimoth(dani****),영화는 원작 못따라감....솔직히 이 영화는 9점대가 아닌 단지 그냥 8점초반대 킬링타임용으로 보이든데...아니다 내가 별로 감흥을 못느끼는건가?,8,0,1,2013-10-05 21:56:00,0
7010,GabrielsOboe(gabr****),"원작 능가. 아니, 원작 초월!",9,0,1,2013-07-23 14:54:00,0
7011,blue****,웹툰이랑 완전 똑같아서 다음에 뭔 내용일지 스토리를 기대하는 맛이 떨어짐. 여하간 뤱툰영화는 원작을 건드리지 않는게 높은 평점받을 수 있단 걸 깨달음.,7,0,1,2013-05-05 16:03:00,0
7012,ogwf****,la다저스 류현진 경기는?,9,0,1,2013-04-21 02:42:00,0
7013,kydi****,비행기에서 보다 흐르는 눈물을 주체할수 없었음.. 부모님 생각 간절하다,10,0,1,2013-03-23 02:33:00,0
7014,람세스(qlen****),훈훈한 감동. 그 이상은 기대하지말길..,7,0,1,2013-02-03 18:14:00,0
7015,vjav****,절대로 강풀만화보고난뒤보지말것,4,0,1,2013-01-03 00:43:00,0
7016,apro****,전혀..공감이안되는영화..평이워낙좋아기대하고봤었는데..,6,0,1,2012-12-16 03:21:00,0
7017,sidn****,치매걸린 군봉아저씨 부인 성격만 빼면 원작을 거의 그대로 가져왔는데.. 너무 제대로 못살린 씬이 많은듯. 배우들 연기는 참 좋네요..,5,0,1,2012-10-25 20:27:00,0
7018,dudd****,따뜻하고 아름답다,7,0,1,2012-09-01 23:06:00,0
7019,타임여행(dank****),연출 엉성하다. 연기력 그렇게 훌륭하지는 않다. 하지만 잘짜여진 각본의 힘은 그것을 다 덮을정도.,9,0,1,2012-08-29 14:34:00,0
7020,전학생(ljh0****),스토리는 뻔하다. 배우들의 연기력이 영화를 살렸다.,6,0,1,2012-08-25 18:40:00,0
7021,4x6(silv****),내용은 뭐 강풀 원작이니 훌륭..음악의 과다사용으로 드라마를 보는것인지 뮤직비디오를 보는것인지 모르겠다.. 한마디로 연출력이 정말 안습이다. 캐스팅은 이순재선생님은 정말 아니다시틈콤을 하시는건지 뭘하시는건지 모르겠다...,5,0,1,2012-08-19 14:53:00,0
7022,wlsgur12(yjh9****),저만 그런가요 저는 내용을모르겟다는 첨부터 봐도 내용을모르겟어..,3,0,1,2012-08-18 10:15:00,0
7023,ashton(asht****),좋긴하지만 살작억지감동,4,0,1,2012-07-23 15:36:00,0
7024,jcmo****,전 평소 김수미 아줌마의 털털한 모습이 아른거려서 감정 몰입이 너무나 안됐네요... 중간중간 웃음요소도 한몫했으려나...아어,6,0,1,2012-07-14 17:04:00,0
7025,pjh7****,그냥 별로,4,0,1,2012-07-12 19:58:00,0
7026,fora****,정신놓고보면 충분히 감동적이나 김만석씨가 가로등을 끌 때 영화가 끝났어야 했다.,6,0,1,2012-06-18 01:00:00,0
